SALE_ID,DATE,PRODUCT_ID,STORE_ID,PROMO_ID,UNITS_SOLD,REVENUE
134,2024-05-04,48,27,144,10,1369.6000000000001
135,2024-12-18,10,8,129,8,829.12
136,2024-01-23,37,30,145,4,533.08
137,2024-03-03,50,15,125,13,1308.8400000000001
138,2024-05-22,22,27,94,7,766.43
139,2024-06-01,11,9,118,14,1445.22
140,2024-05-24,35,3,147,12,1126.08
141,2024-08-12,9,5,148,5,309.54999999999995
142,2024-11-04,15,4,124,6,381.65999999999997
143,2024-04-13,19,20,11,12,516.48
144,2024-04-13,37,21,13,15,1999.0500000000002
145,2024-02-08,6,21,150,6,774.06
146,2024-07-16,36,20,51,13,1394.51
147,2024-05-13,44,6,56,17,2272.22
148,2024-03-07,5,29,109,8,1104.72
149,2024-06-27,3,23,29,12,1676.16
150,2024-02-11,10,8,36,5,518.2
151,2024-01-15,13,3,69,4,193.84
152,2024-04-20,4,4,25,7,708.0500000000001
153,2024-06-05,40,17,68,1,24.77
154,2024-10-15,33,17,122,17,653.31
155,2024-08-18,34,5,141,12,1704.0
156,2024-06-05,36,17,67,5,536.35
157,2024-02-07,33,25,46,8,307.44
158,2024-04-06,21,12,88,12,187.92000000000002
159,2024-10-15,39,3,100,13,668.07
160,2024-09-10,5,26,40,12,1657.08
161,2024-07-14,45,25,72,15,831.15
162,2024-03-26,13,21,113,14,678.44
163,2024-11-17,40,2,74,8,198.16
164,2024-01-10,17,25,28,10,1288.5
165,2024-01-05,10,23,102,9,932.76
166,2024-05-02,10,11,1,6,621.84
167,2024-11-25,2,6,84,8,758.64
168,2024-12-18,38,17,128,13,1266.33
169,2024-04-27,21,29,135,8,125.28
170,2024-10-20,1,19,141,19,2291.78
171,2024-06-07,30,29,139,2,59.02
172,2024-10-29,18,13,135,7,777.2800000000001
173,2024-08-15,35,21,116,18,1689.1200000000001
174,2024-12-30,39,5,79,19,976.41
175,2024-08-03,48,5,97,16,2191.36
176,2024-07-02,22,19,96,10,1094.8999999999999
177,2024-01-15,3,28,25,9,1257.1200000000001
178,2024-06-05,6,15,138,12,1548.12
179,2024-05-15,36,27,103,16,1716.32
180,2024-09-17,16,4,86,10,1460.3999999999999
181,2024-06-05,3,6,76,12,1676.16
182,2024-02-16,36,3,129,17,1823.59
183,2024-11-19,11,24,121,9,929.07
184,2024-11-27,17,29,62,16,2061.6
185,2024-06-21,19,11,42,3,129.12
186,2024-05-09,8,19,38,19,443.84
187,2024-04-04,14,4,22,4,354.28
188,2024-04-24,26,27,109,11,1489.51
189,2024-08-30,48,22,67,7,958.72
190,2024-10-18,25,7,60,15,573.6
191,2024-10-08,48,3,133,9,1232.64
192,2024-10-25,10,25,67,10,1036.4
193,2024-10-09,32,5,113,6,513.48
194,2024-03-09,15,16,146,17,1081.37
195,2024-05-27,4,21,145,3,303.45000000000005
196,2024-01-11,28,25,3,10,888.6
197,2024-09-10,4,30,79,17,1719.5500000000002
198,2024-11-25,13,19,145,18,872.28
199,2024-12-25,12,18,132,13,1206.14
200,2024-02-07,15,3,105,13,826.93
201,2024-05-13,29,5,8,1,107.37
202,2024-07-18,23,7,103,10,255.2
203,2024-01-23,13,7,31,3,145.38
204,2024-10-29,38,3,33,2,194.82
205,2024-12-11,46,26,130,12,325.08
206,2024-10-28,35,9,132,14,1313.76
207,2024-12-28,40,8,33,8,198.16
208,2024-08-05,12,21,26,2,185.56
209,2024-05-20,30,18,51,16,472.16
210,2024-04-13,46,26,115,18,487.62
211,2024-07-28,5,10,1,5,690.45
212,2024-04-20,2,20,12,10,948.3
213,2024-04-13,42,8,40,9,365.21999999999997
214,2024-11-11,30,8,56,4,118.04
215,2024-06-19,35,17,95,14,1313.76
216,2024-12-21,10,29,145,4,414.56
217,2024-11-19,9,17,10,17,1052.47
218,2024-05-12,17,30,132,5,644.25
219,2024-10-19,38,4,2,6,584.46
220,2024-11-23,30,6,39,12,354.12
221,2024-05-06,41,29,134,3,221.73
222,2024-04-15,35,19,146,10,938.4000000000001
223,2024-04-01,7,1,70,8,583.36
224,2024-10-13,12,4,32,8,742.24
225,2024-02-20,50,11,85,2,201.36
226,2024-01-29,42,6,65,5,202.89999999999998
227,2024-10-22,34,12,77,13,1846.0
228,2024-10-23,49,5,94,19,913.9
229,2024-08-01,3,14,68,1,139.68
230,2024-09-23,33,17,134,13,499.59
231,2024-09-13,40,4,108,10,247.7
232,2024-10-28,13,15,125,5,242.3
233,2024-04-10,11,6,52,18,1858.14
234,2024-12-11,40,13,,12,297.24
235,2024-04-19,20,12,113,3,137.55
236,2024-06-30,31,10,123,18,1703.16
237,2024-11-08,33,6,100,7,269.01
238,2024-01-01,34,22,47,3,426.0
239,2024-11-14,50,30,45,8,805.44
240,2024-02-24,50,9,69,6,604.08
241,2024-05-28,9,16,84,17,1052.47
242,2024-11-04,7,8,31,11,802.12
243,2024-05-16,9,7,99,18,1114.3799999999999
244,2024-07-20,42,14,58,9,365.21999999999997
245,2024-11-08,26,30,95,18,2437.38
246,2024-04-26,2,26,117,5,474.15
247,2024-06-02,5,4,129,9,1242.81
248,2024-10-17,49,3,47,2,96.2
249,2024-03-03,2,29,116,5,474.15
250,2024-08-31,10,3,116,15,1554.6
251,2024-01-25,31,19,66,14,1324.68
252,2024-03-30,33,10,1,1,38.43
253,2024-03-15,44,14,,2,267.32
254,2024-10-20,47,21,131,7,419.16
255,2024-07-28,6,6,88,7,903.0699999999999
256,2024-12-12,14,12,58,17,1505.6899999999998
257,2024-01-17,14,12,83,8,708.56
258,2024-05-07,15,28,75,9,572.49
259,2024-12-29,33,4,84,12,461.15999999999997
260,2024-09-07,31,30,74,11,1040.8200000000002
261,2024-06-27,17,10,114,17,2190.45
262,2024-06-30,43,29,,7,478.17
263,2024-05-31,15,12,133,12,763.3199999999999
264,2024-01-25,20,17,50,14,641.9
265,2024-06-28,48,23,86,13,1780.48
266,2024-07-16,21,28,139,1,15.66
267,2024-12-09,29,7,57,5,536.85
268,2024-06-09,9,10,109,5,309.54999999999995
269,2024-06-25,29,1,89,10,1073.7
270,2024-10-11,44,19,48,9,1202.94
271,2024-03-03,34,26,130,11,1562.0
272,2024-05-29,47,22,101,12,718.5600000000001
273,2024-06-02,9,20,149,11,681.01
274,2024-06-04,48,29,137,11,1506.5600000000002
275,2024-02-18,30,5,29,2,59.02
276,2024-12-02,17,25,25,17,2190.45
277,2024-03-24,4,26,113,8,809.2
278,2024-12-26,40,25,40,3,74.31
279,2024-06-25,32,6,99,8,684.64
280,2024-05-27,32,1,72,19,1626.02
281,2024-04-27,7,22,57,8,583.36
282,2024-12-07,38,29,27,8,779.28
283,2024-03-03,32,15,19,16,1369.28
284,2024-07-07,5,2,124,19,2623.71
285,2024-12-25,42,23,45,3,121.74
286,2024-02-18,3,29,102,19,2653.92
287,2024-11-22,20,18,31,16,733.6
288,2024-09-13,17,13,15,10,1288.5
289,2024-08-11,16,2,90,18,2628.72
290,2024-05-20,11,8,74,19,1961.3700000000001
291,2024-08-02,13,27,109,4,193.84
292,2024-07-29,18,24,27,7,777.2800000000001
293,2024-11-13,14,5,11,13,1151.4099999999999
294,2024-02-01,34,22,139,2,284.0
295,2024-06-06,12,27,141,7,649.46
296,2024-10-11,22,23,48,15,1642.35
297,2024-10-31,21,15,137,11,172.26
298,2024-10-12,26,25,80,6,812.46
299,2024-05-23,42,13,49,17,689.86
300,2024-01-19,39,23,17,5,256.95
301,2024-01-18,2,30,105,15,1422.45
302,2024-09-13,50,25,37,9,906.1200000000001
303,2024-03-18,49,21,2,12,577.2
304,2024-06-23,16,17,147,1,146.04
305,2024-07-12,34,4,30,3,426.0
306,2024-04-22,11,7,132,12,1238.76
307,2024-04-23,19,2,145,7,301.28
308,2024-08-09,30,9,8,17,501.67
309,2024-06-14,7,2,17,8,583.36
310,2024-11-14,27,17,146,18,1377.8999999999999
311,2024-05-11,22,21,142,1,109.49
312,2024-09-20,17,18,40,18,2319.2999999999997
313,2024-02-24,15,6,62,6,381.65999999999997
314,2024-12-24,9,18,132,7,433.37
315,2024-05-10,12,27,72,1,92.78
316,2024-10-14,8,22,39,8,186.88
317,2024-09-22,2,6,,1,94.83
318,2024-06-10,49,30,,9,432.90000000000003
319,2024-03-27,48,26,20,18,2465.28
320,2024-02-24,16,2,42,16,2336.64
321,2024-10-14,3,2,134,7,977.76
322,2024-06-26,48,6,99,5,684.8000000000001
323,2024-12-14,31,9,43,1,94.62
324,2024-01-08,43,30,82,11,751.4100000000001
325,2024-11-16,26,30,27,7,947.87
326,2024-11-08,41,4,54,11,813.01
327,2024-09-03,46,10,46,1,27.09
328,2024-11-18,2,20,74,18,1706.94
329,2024-09-11,30,30,49,9,265.59000000000003
330,2024-11-23,13,2,145,13,629.98
331,2024-02-23,37,13,105,8,1066.16
332,2024-09-05,14,4,115,13,1151.4099999999999
333,2024-08-26,1,11,34,2,241.24
334,2024-08-16,32,10,131,1,85.58
335,2024-03-07,6,13,49,8,1032.08
336,2024-02-20,22,7,36,10,1094.8999999999999
337,2024-04-06,11,4,31,5,516.15
338,2024-04-01,49,22,116,14,673.4
339,2024-09-20,23,5,17,10,255.2
340,2024-10-17,14,7,32,7,619.99
341,2024-04-05,14,11,67,13,1151.4099999999999
342,2024-03-28,20,27,121,15,687.75
343,2024-03-18,7,3,82,2,145.84
344,2024-10-14,19,27,71,8,344.32
345,2024-04-29,26,13,54,11,1489.51
346,2024-10-28,22,30,45,12,1313.8799999999999
347,2024-06-13,6,28,10,1,129.01
348,2024-06-30,13,3,2,16,775.36
349,2024-08-10,10,5,99,6,621.84
350,2024-11-06,19,14,147,16,688.64
351,2024-01-07,31,29,106,9,851.58
352,2024-11-25,10,20,100,11,1140.04
353,2024-09-19,37,5,70,12,1599.2400000000002
354,2024-06-09,13,30,,9,436.14
355,2024-05-30,17,17,75,7,901.9499999999999
356,2024-03-25,5,14,57,11,1518.99
357,2024-05-26,21,16,29,2,31.32
358,2024-04-21,39,20,122,2,102.78
359,2024-02-05,20,6,144,18,825.3000000000001
360,2024-10-11,7,23,17,1,72.92
361,2024-07-06,15,24,35,7,445.27
362,2024-03-22,15,5,49,18,1144.98
363,2024-01-02,23,18,19,7,178.64
364,2024-10-29,33,18,131,6,230.57999999999998
365,2024-07-15,44,15,,17,2272.22
366,2024-01-11,2,19,94,15,1422.45
367,2024-08-21,50,4,51,18,1812.2400000000002
368,2024-07-13,32,6,80,15,1283.7
369,2024-04-28,15,21,9,5,318.05
370,2024-01-20,7,21,85,7,510.44
371,2024-09-17,9,9,52,5,309.54999999999995
372,2024-10-19,28,9,140,14,1244.04
373,2024-09-12,22,27,142,12,1313.8799999999999
374,2024-08-09,3,28,39,7,977.76
375,2024-08-13,42,19,2,18,730.4399999999999
376,2024-02-22,2,25,62,16,1517.28
377,2024-12-20,22,17,53,4,437.96
378,2024-12-07,25,20,121,5,191.20000000000002
379,2024-12-29,25,14,28,3,114.72
380,2024-10-06,32,27,51,3,256.74
381,2024-03-21,44,8,24,19,2539.54
382,2024-07-20,7,9,51,18,1312.56
383,2024-06-06,31,21,14,17,1608.54
384,2024-04-29,37,2,147,12,1599.2400000000002
385,2024-02-28,4,24,,1,101.15
386,2024-08-02,33,8,16,10,384.3
387,2024-05-07,15,25,71,17,1081.37
388,2024-08-11,9,22,17,11,681.01
389,2024-07-27,6,27,30,15,1935.1499999999999
390,2024-04-24,46,9,8,3,81.27
391,2024-07-27,31,13,38,19,1797.7800000000002
392,2024-01-14,34,26,103,18,2556.0
393,2024-01-09,44,10,139,9,1202.94
394,2024-02-09,38,24,53,7,681.87
395,2024-08-24,13,13,49,9,436.14
396,2024-10-07,36,27,62,7,750.89
397,2024-12-24,32,5,65,5,427.9
398,2024-07-19,22,30,29,6,656.9399999999999
399,2024-09-02,48,15,72,12,1643.52
400,2024-10-04,29,29,31,3,322.11
401,2024-08-22,11,20,80,9,929.07
402,2024-01-04,6,7,134,13,1677.1299999999999
403,2024-06-02,5,22,78,18,2485.62
404,2024-01-29,1,12,95,2,241.24
405,2024-04-18,39,20,116,11,565.29
406,2024-04-07,50,16,109,13,1308.8400000000001
407,2024-08-02,10,2,142,5,518.2
408,2024-10-19,10,10,16,17,1761.88
409,2024-03-15,49,9,123,11,529.1
410,2024-11-21,24,20,84,5,357.55
411,2024-05-25,7,3,42,6,437.52
412,2024-05-07,22,11,22,11,1204.3899999999999
413,2024-12-06,21,28,108,9,140.94
414,2024-02-11,22,10,80,3,328.46999999999997
415,2024-12-21,33,13,77,15,576.45
416,2024-02-10,44,22,109,11,1470.26
417,2024-02-03,25,2,70,10,382.40000000000003
418,2024-01-17,31,16,104,11,1040.8200000000002
419,2024-06-13,49,8,118,15,721.5
420,2024-06-01,16,25,150,3,438.12
421,2024-03-16,15,20,21,8,508.88
422,2024-03-27,29,10,78,14,1503.18
423,2024-04-26,19,23,76,6,258.24
424,2024-12-27,17,29,26,16,2061.6
425,2024-12-07,26,17,8,14,1895.74
426,2024-01-27,36,18,51,18,1930.86
427,2024-11-08,36,20,147,9,965.43
428,2024-10-13,35,21,120,7,656.88
429,2024-05-13,40,10,63,9,222.93
430,2024-08-06,23,30,114,4,102.08
431,2024-06-16,9,28,100,1,61.91
432,2024-04-07,34,28,132,14,1988.0
433,2024-09-24,18,24,120,7,777.2800000000001
434,2024-08-24,16,2,106,11,1606.4399999999998
435,2024-11-04,32,2,32,6,513.48
436,2024-06-21,28,10,61,4,355.44
437,2024-07-08,32,21,109,14,1198.12
438,2024-05-01,50,2,3,11,1107.48
439,2024-02-15,18,30,132,6,666.24
440,2024-03-04,44,14,138,13,1737.58
441,2024-05-09,34,19,26,16,2272.0
442,2024-11-05,29,30,89,10,1073.7
443,2024-12-28,21,26,103,8,125.28
444,2024-07-11,1,9,149,11,1326.8200000000002
445,2024-11-02,16,27,30,19,2774.7599999999998
446,2024-06-29,49,16,56,10,481.0
447,2024-10-18,33,25,93,9,345.87
448,2024-10-08,21,22,50,6,93.96000000000001
449,2024-01-29,35,25,67,17,1595.28
450,2024-05-28,27,24,144,7,535.85
451,2024-09-23,20,28,21,4,183.4
452,2024-10-22,31,29,46,19,1797.7800000000002
453,2024-01-11,16,3,113,9,1314.36
454,2024-06-12,14,24,23,13,1151.4099999999999
455,2024-04-22,48,11,69,1,136.96
456,2024-07-05,32,23,130,8,684.64
457,2024-10-21,41,12,27,17,1256.47
458,2024-08-19,32,25,138,9,770.22
459,2024-08-14,2,7,98,9,853.47
460,2024-11-05,45,21,20,8,443.28
461,2024-04-07,22,5,101,12,1313.8799999999999
462,2024-02-24,37,20,5,10,1332.7
463,2024-04-20,17,2,125,9,1159.6499999999999
464,2024-05-31,32,21,54,4,342.32
465,2024-09-02,38,26,145,12,1168.92
466,2024-03-09,17,4,58,6,773.0999999999999
467,2024-11-07,34,17,34,14,1988.0
468,2024-10-15,7,18,22,13,947.96
469,2024-09-06,29,27,95,11,1181.0700000000002
470,2024-02-05,17,2,4,9,1159.6499999999999
471,2024-08-26,24,9,36,11,786.61
472,2024-05-27,8,18,39,19,443.84
473,2024-08-14,23,12,126,7,178.64
474,2024-08-31,33,10,69,3,115.28999999999999
475,2024-12-02,29,7,142,10,1073.7
476,2024-12-30,19,30,145,16,688.64
477,2024-07-19,5,3,124,10,1380.9
478,2024-06-02,37,18,97,19,2532.13
479,2024-03-13,23,24,93,11,280.71999999999997
480,2024-07-19,26,28,67,18,2437.38
481,2024-10-22,24,2,70,2,143.02
482,2024-01-17,21,29,75,1,15.66
483,2024-05-08,33,25,96,15,576.45
484,2024-08-04,26,3,34,13,1760.33
485,2024-03-01,10,15,72,5,518.2
486,2024-04-13,42,9,6,13,527.54
487,2024-02-11,29,3,16,14,1503.18
488,2024-01-25,35,25,131,7,656.88
489,2024-02-08,28,6,31,4,355.44
490,2024-10-17,12,11,105,19,1762.82
491,2024-05-10,44,2,70,1,133.66
492,2024-08-16,7,17,43,18,1312.56
493,2024-04-17,16,3,88,4,584.16
494,2024-06-20,20,7,14,13,596.0500000000001
495,2024-04-11,29,10,31,14,1503.18
496,2024-12-19,35,19,26,10,938.4000000000001
497,2024-01-12,28,3,127,19,1688.34
498,2024-10-01,7,28,24,7,510.44
499,2024-04-10,22,23,65,14,1532.86
500,2024-02-13,14,23,138,9,797.1299999999999
501,2024-10-31,36,20,58,15,1609.05
502,2024-01-17,10,1,107,14,1450.96
503,2024-11-25,2,10,126,6,568.98
504,2024-02-26,22,13,63,16,1751.84
505,2024-11-06,16,8,136,19,2774.7599999999998
506,2024-10-29,35,24,19,18,1689.1200000000001
507,2024-01-12,47,22,76,19,1137.72
508,2024-11-13,40,27,114,13,322.01
509,2024-03-20,48,15,11,7,958.72
510,2024-08-03,11,1,122,14,1445.22
511,2024-12-04,43,28,98,17,1161.27
512,2024-09-20,43,26,53,8,546.48
513,2024-05-28,33,12,17,1,38.43
514,2024-03-21,34,3,142,13,1846.0
515,2024-08-02,33,28,24,15,576.45
516,2024-07-16,19,30,44,18,774.72
517,2024-07-18,20,28,85,18,825.3000000000001
518,2024-01-25,10,6,38,18,1865.52
519,2024-03-29,19,10,23,14,602.56
520,2024-09-24,43,6,71,10,683.1
521,2024-05-22,12,17,89,8,742.24
522,2024-02-28,10,27,118,12,1243.68
523,2024-12-30,7,7,32,7,510.44
524,2024-01-26,40,27,69,16,396.32
525,2024-02-16,11,14,8,6,619.38
526,2024-10-14,50,2,149,3,302.04
527,2024-09-22,16,24,93,17,2482.68
528,2024-01-16,33,14,125,15,576.45
529,2024-07-17,38,6,,5,487.04999999999995
530,2024-10-08,17,1,25,14,1803.8999999999999
531,2024-03-26,45,18,68,2,110.82
532,2024-09-06,25,6,81,17,650.08
533,2024-09-26,42,18,112,4,162.32
534,2024-11-30,31,30,108,13,1230.06
535,2024-04-26,42,4,17,12,486.96
536,2024-01-07,1,25,13,7,844.34
537,2024-05-16,39,14,77,4,205.56
538,2024-06-24,20,3,34,17,779.45
539,2024-11-23,9,14,51,12,742.92
540,2024-11-10,43,5,99,19,1297.89
541,2024-08-02,2,14,56,2,189.66
542,2024-03-22,1,19,15,15,1809.3000000000002
543,2024-08-10,44,8,5,11,1470.26
544,2024-04-12,39,26,10,3,154.17000000000002
545,2024-09-29,5,5,85,7,966.63
546,2024-01-14,12,10,58,2,185.56
547,2024-06-07,14,13,,11,974.27
548,2024-05-31,39,6,21,7,359.73
549,2024-04-17,32,22,34,8,684.64
550,2024-07-06,40,20,95,6,148.62
551,2024-10-27,46,10,41,13,352.17
552,2024-04-07,44,13,80,17,2272.22
553,2024-05-10,9,27,68,14,866.74
554,2024-10-19,42,20,53,9,365.21999999999997
555,2024-06-19,42,10,59,15,608.6999999999999
556,2024-07-01,33,1,10,13,499.59
557,2024-12-29,25,22,93,16,611.84
558,2024-02-08,38,30,115,1,97.41
559,2024-01-15,14,4,65,11,974.27
560,2024-01-04,9,13,132,19,1176.29
561,2024-12-14,27,6,137,2,153.1
562,2024-07-28,44,8,132,17,2272.22
563,2024-06-09,19,9,128,18,774.72
564,2024-01-16,25,9,29,4,152.96
565,2024-04-17,32,30,93,7,599.06
566,2024-11-06,22,14,45,1,109.49
567,2024-08-14,29,1,99,9,966.33
568,2024-06-18,28,5,20,3,266.58
569,2024-02-03,44,28,126,7,935.62
570,2024-09-07,13,23,29,7,339.22
571,2024-09-03,28,17,148,7,622.02
572,2024-09-25,3,6,86,4,558.72
573,2024-05-20,30,17,87,15,442.65000000000003
574,2024-09-30,11,22,6,6,619.38
575,2024-04-05,2,23,143,6,568.98
576,2024-08-14,50,5,80,19,1912.92
577,2024-02-08,50,2,136,14,1409.52
578,2024-10-28,9,18,,12,742.92
579,2024-01-29,33,6,15,14,538.02
580,2024-11-13,26,28,33,2,270.82
581,2024-09-01,16,14,125,5,730.1999999999999
582,2024-08-23,25,22,89,9,344.16
583,2024-07-03,1,1,9,5,603.1
584,2024-09-28,21,11,33,3,46.980000000000004
585,2024-08-23,20,10,77,4,183.4
586,2024-08-26,5,15,114,6,828.54
587,2024-09-22,17,9,,19,2448.15
588,2024-12-24,40,7,52,5,123.85
589,2024-12-05,38,12,90,19,1850.79
590,2024-03-05,1,8,27,5,603.1
591,2024-06-25,13,27,53,5,242.3
592,2024-01-03,18,10,62,6,666.24
593,2024-05-21,4,2,75,2,202.3
594,2024-06-06,47,22,98,10,598.8000000000001
595,2024-11-19,14,14,98,18,1594.2599999999998
596,2024-05-25,48,9,37,2,273.92
597,2024-10-19,5,1,9,10,1380.9
598,2024-06-01,33,16,56,17,653.31
599,2024-07-11,26,27,120,11,1489.51
600,2024-03-13,4,5,47,4,404.6
601,2024-10-31,30,8,88,8,236.08
602,2024-12-09,17,30,125,8,1030.8
603,2024-05-19,28,20,37,3,266.58
604,2024-07-05,6,1,75,12,1548.12
605,2024-10-19,27,23,35,13,995.15
606,2024-03-01,36,17,41,13,1394.51
607,2024-07-16,7,7,40,4,291.68
608,2024-10-21,1,26,139,6,723.72
609,2024-11-14,10,11,41,2,207.28
610,2024-10-28,13,7,117,19,920.74
611,2024-12-09,41,30,55,19,1404.29
612,2024-01-11,32,7,67,17,1454.86
613,2024-03-02,14,21,38,18,1594.2599999999998
614,2024-11-28,33,29,79,8,307.44
615,2024-08-13,30,4,57,6,177.06
616,2024-06-01,9,20,112,18,1114.3799999999999
617,2024-07-17,6,1,2,2,258.02
618,2024-02-21,10,15,74,5,518.2
619,2024-09-16,11,27,53,15,1548.45
620,2024-02-28,39,2,117,17,873.63
621,2024-03-12,20,28,8,2,91.7
622,2024-05-27,25,23,63,3,114.72
623,2024-12-14,12,24,133,2,185.56
624,2024-03-03,22,24,75,19,2080.31
625,2024-11-05,12,29,76,18,1670.04
626,2024-08-30,14,9,63,3,265.71
627,2024-11-25,42,23,65,8,324.64
628,2024-04-16,48,14,128,1,136.96
629,2024-08-13,36,16,148,3,321.81
